Function Name,Category,Tier,Description,Required Parameters,Optional Parameters,Estimated Tokens,Usage Frequency,Common Combinations,Load Triggers
mcp__zen__analyze,Advanced Analysis,2,"Comprehensive code analysis","step, step_number, total_steps, next_step_required, findings, model","analysis_type, confidence, relevant_files",820,40%,"codereview, refactor","analyze, understand, review"
mcp__zen__tracer,Advanced Analysis,2,"Code execution tracing","step, step_number, total_steps, next_step_required, findings, target_description, trace_mode, model","confidence, relevant_files",680,25%,"debug, analyze","trace, flow, execution"
mcp__zen__challenge,Advanced Analysis,2,"Critical analysis and reasoning","prompt","",380,20%,"chat, consensus","challenge, disagree, question"
mcp__zen__dynamic_model_selector,Advanced Analysis,2,"Intelligent model selection","requirements, model","complexity_level, budget_preference, task_type",520,15%,"consensus, chat","model, select, optimize"
mcp__zen__model_evaluator,Advanced Analysis,2,"Comprehensive model evaluation","step, step_number, total_steps, next_step_required, findings, model","openrouter_url, evaluation_type",750,10%,"dynamic_model_selector","evaluate, model, compare"
mcp__zen__pr_review,Advanced Analysis,2,"Adaptive GitHub PR review","pr_url","mode, focus_security, consensus_model",580,20%,"codereview, secaudit","review, pr, github"
mcp__zen__listmodels,Advanced Analysis,2,"Display available AI models","","model",120,15%,"dynamic_model_selector","models, list, available"
mcp__zen__version,Advanced Analysis,2,"Get server version and config","","model",120,10%,"","version, config, debug"
mcp__sequential-thinking__sequentialthinking,Advanced Analysis,2,"Dynamic problem-solving workflow","thought, nextThoughtNeeded, thoughtNumber, totalThoughts","isRevision, branchFromThought, branchId",680,25%,"thinkdeep, planner","think, problem, solve"
mcp__zen__codereview,Code Quality,2,"Comprehensive code review workflow","step, step_number, total_steps, next_step_required, findings, model","review_type, standards, confidence",950,30%,"analyze, refactor","review, code, quality"
mcp__zen__refactor,Code Quality,2,"Refactoring analysis and planning","step, step_number, total_steps, next_step_required, findings, model","refactor_type, confidence, focus_areas",890,25%,"codereview, analyze","refactor, improve, clean"
mcp__zen__docgen,Code Quality,2,"Documentation generation workflow","step, step_number, total_steps, next_step_required, findings","document_complexity, document_flow, update_existing",720,20%,"analyze, codereview","document, docs, generate"
mcp__zen__testgen,Code Quality,2,"Comprehensive test generation","step, step_number, total_steps, next_step_required, findings, model","confidence, relevant_files",850,25%,"codereview, analyze","test, testing, generate"
mcp__zen__precommit,Code Quality,2,"Pre-commit validation workflow","step, step_number, total_steps, next_step_required, findings, model","compare_to, include_staged, path",920,30%,"codereview, testgen","precommit, validate, check"
mcp__zen__secaudit,Code Quality,2,"Security audit workflow","step, step_number, total_steps, next_step_required, findings, model","audit_focus, compliance_requirements, security_scope",980,20%,"codereview, analyze","security, audit, vulnerability"
mcp__context7-sse__resolve-library-id,External Services,3,"Resolve library names to Context7 IDs","libraryName","",280,15%,"get-library-docs","library, documentation, resolve"
mcp__context7-sse__get-library-docs,External Services,3,"Fetch library documentation","context7CompatibleLibraryID","tokens, topic",320,20%,"resolve-library-id","library, docs, documentation"
mcp__time__get_current_time,External Services,3,"Get current time in timezone","timezone","",180,10%,"convert_time","time, timezone, current"
mcp__time__convert_time,External Services,3,"Convert time between timezones","source_timezone, time, target_timezone","",220,8%,"get_current_time","time, convert, timezone"
mcp__safety-mcp-sse__check_package_security,External Services,3,"Check package vulnerabilities","packages[]","",450,15%,"get_recommended_version","security, package, vulnerability"
mcp__safety-mcp-sse__get_recommended_version,External Services,3,"Get recommended package versions","packages[]","",380,12%,"check_package_security","package, version, recommend"
mcp__safety-mcp-sse__list_vulnerabilities_affecting_version,External Services,3,"List specific vulnerabilities","packages[]","",520,8%,"check_package_security","vulnerability, list, detail"
BashOutput,Infrastructure,3,"Get background bash output","bash_id","filter",280,10%,"Bash, KillBash","background, output, monitor"
ListMcpResourcesTool,Infrastructure,3,"List MCP server resources","","server",220,8%,"ReadMcpResourceTool","mcp, resources, list"
ReadMcpResourceTool,Infrastructure,3,"Read specific MCP resources","server, uri","",240,10%,"ListMcpResourcesTool","mcp, resource, read"
KillBash,Infrastructure,3,"Kill background bash processes","shell_id","",180,5%,"BashOutput","kill, background, process"
